,salary,season,Salary Cap,% of Salary Cap,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PTS
0,395000.0,1990-91,11871000.0,0.03327436610226603,0.3,50.2,0.0,70.1,256,5.7
1,494000.0,1991-92,12500000.0,0.03952,0.3,50.2,0.0,70.1,256,5.7
2,500000.0,1992-93,14000000.0,0.03571428571428571,0.3,50.2,0.0,70.1,256,5.7
3,805000.0,1993-94,15175000.0,0.05304777594728172,0.3,50.2,0.0,70.1,256,5.7
4,650000.0,1994-95,15964000.0,0.04071661237785016,0.3,50.2,0.0,70.1,256,5.7
5,1530000.0,1984-85,3600000.0,0.425,3.6,55.9,5.6,72.1,1560,24.6
6,2030000.0,1985-86,4233000.0,0.4795653201039452,3.6,55.9,5.6,72.1,1560,24.6
7,2000000.0,1987-88,6164000.0,0.3244646333549643,3.6,55.9,5.6,72.1,1560,24.6
8,3000000.0,1988-89,7232000.0,0.41482300884955753,3.6,55.9,5.6,72.1,1560,24.6
9,1660000.0,1990-91,11871000.0,0.13983657653104203,3.5,44.2,35.4,90.5,586,14.6
10,2008000.0,1991-92,12500000.0,0.16064,3.5,44.2,35.4,90.5,586,14.6
11,2358000.0,1992-93,14000000.0,0.16842857142857143,3.5,44.2,35.4,90.5,586,14.6
12,1825000.0,1993-94,15175000.0,0.12026359143327842,3.5,44.2,35.4,90.5,586,14.6
13,2200000.0,1994-95,15964000.0,0.13781007266349285,3.5,44.2,35.4,90.5,586,14.6
14,2600000.0,1995-96,23000000.0,0.11304347826086956,3.5,44.2,35.4,90.5,586,14.6
15,3100000.0,1996-97,24363000.0,0.12724212945860527,3.5,44.2,35.4,90.5,586,14.6
16,3300000.0,1997-98,26900000.0,0.12267657992565056,3.5,44.2,35.4,90.5,586,14.6
17,798500.0,2000-01,35500000.0,0.022492957746478873,3.5,44.2,35.4,90.5,586,14.6
18,1226880.0,1997-98,26900000.0,0.0456089219330855,1.1,41.7,23.7,70.3,236,7.8
19,1411000.0,1998-99,30000000.0,0.04703333333333334,1.1,41.7,23.7,70.3,236,7.8
20,1594920.0,1999-00,34000000.0,0.04690941176470588,1.1,41.7,23.7,70.3,236,7.8
21,4500000.0,2000-01,35500000.0,0.1267605633802817,1.1,41.7,23.7,70.3,236,7.8
22,5062500.0,2001-02,42500000.0,0.11911764705882352,1.1,41.7,23.7,70.3,236,7.8
23,5625000.0,2002-03,40271000.0,0.1396786769635718,1.1,41.7,23.7,70.3,236,7.8
24,6187500.0,2003-04,43840000.0,0.1411382299270073,1.1,41.7,23.7,70.3,236,7.8
25,6750000.0,2004-05,43870000.0,0.15386368816959198,1.1,41.7,23.7,70.3,236,7.8
26,3656250.0,2005-06,49500000.0,0.07386363636363637,1.1,41.7,23.7,70.3,236,7.8
27,1968750.0,2006-07,53135000.0,0.03705184906370566,1.1,41.7,23.7,70.3,236,7.8
28,2186000.0,1996-97,24363000.0,0.08972622419242293,2.5,47.2,29.7,81.0,830,18.1
29,9000000.0,1999-00,34000000.0,0.2647058823529412,2.5,47.2,29.7,81.0,830,18.1
30,10130000.0,2000-01,35500000.0,0.2853521126760563,2.5,47.2,29.7,81.0,830,18.1
31,11250000.0,2001-02,42500000.0,0.2647058823529412,2.5,47.2,29.7,81.0,830,18.1
32,12375000.0,2002-03,40271000.0,0.30729308931985794,2.5,47.2,29.7,81.0,830,18.1
33,13500000.0,2003-04,43840000.0,0.3079379562043796,2.5,47.2,29.7,81.0,830,18.1
34,14625000.0,2004-05,43870000.0,0.33337132436744926,2.5,47.2,29.7,81.0,830,18.1
35,5000000.0,2005-06,49500000.0,0.10101010101010101,2.5,47.2,29.7,81.0,830,18.1
36,5400000.0,2006-07,53135000.0,0.1016279288604498,2.5,47.2,29.7,81.0,830,18.1
37,5800000.0,2007-08,55630000.0,0.1042602912097789,2.5,47.2,29.7,81.0,830,18.1
38,6600000.0,2009-10,57700000.0,0.11438474870017332,2.5,47.2,29.7,81.0,830,18.1
39,5994764.0,2016-17,94143000.0,0.06367721445035744,0.5,38.7,36.8,88.0,174,5.3
40,5725000.0,2017-18,99093000.0,0.057774010273177724,0.5,38.7,36.8,88.0,174,5.3
41,398762.0,2005-06,49500000.0,0.00805579797979798,0.5,37.0,32.0,50.0,30,2.7
42,839209.0,2006-07,53135000.0,0.015793902324268375,0.5,37.0,32.0,50.0,30,2.7
43,711517.0,2008-09,58680000.0,0.012125374914792092,0.5,37.0,32.0,50.0,30,2.7
44,75000.0,1987-88,6164000.0,0.012167423750811162,0.5,50.6,53.8,66.5,375,3.6
45,300000.0,1988-89,7232000.0,0.041482300884955754,0.5,50.6,53.8,66.5,375,3.6
46,437000.0,1990-91,11871000.0,0.03681239996630444,0.5,50.6,53.8,66.5,375,3.6
47,547000.0,1991-92,12500000.0,0.04376,0.5,50.6,53.8,66.5,375,3.6
48,250000.0,1992-93,14000000.0,0.017857142857142856,0.5,50.6,53.8,66.5,375,3.6
49,665000.0,2012-13,58044000.0,0.011456825856246985,0.6,44.4,35.0,75.9,337,4.9
50,788872.0,2013-14,58679000.0,0.013443855553093952,0.6,44.4,35.0,75.9,337,4.9
51,915243.0,2014-15,63065000.0,0.014512693252992944,0.6,44.4,35.0,75.9,337,4.9
52,981348.0,2015-16,70000000.0,0.014019257142857143,0.6,44.4,35.0,75.9,337,4.9
53,1914544.0,2016-17,94143000.0,0.020336551841347736,0.6,44.4,35.0,75.9,337,4.9
54,1050961.0,2016-17,94143000.0,0.011163453469721593,0.6,44.4,35.0,75.9,337,4.9
55,1709538.0,2017-18,99093000.0,0.01725185431867034,0.6,44.4,35.0,75.9,337,4.9
56,500000.0,1984-85,3600000.0,0.1388888888888889,4.1,49.8,13.3,78.8,988,14.1
57,600000.0,1985-86,4233000.0,0.14174344436569808,4.1,49.8,13.3,78.8,988,14.1
58,675000.0,1987-88,6164000.0,0.10950681375730045,4.1,49.8,13.3,78.8,988,14.1
59,412718.0,2006-07,53135000.0,0.007767347322856874,0.2,53.4,0.0,64.3,73,2.5
60,297163.0,2008-09,58680000.0,0.005064127471029312,0.2,53.4,0.0,64.3,73,2.5
61,1344120.0,2014-15,63065000.0,0.02131324823594704,0.6,40.2,38.5,60.7,32,3.2
62,1404600.0,2015-16,70000000.0,0.020065714285714287,0.6,40.2,38.5,60.7,32,3.2
63,1465080.0,2016-17,94143000.0,0.015562282910041107,0.6,40.2,38.5,60.7,32,3.2
64,85000.0,1985-86,4233000.0,0.020080321285140562,6.4,41.5,33.2,84.9,653,14.7
65,160000.0,1987-88,6164000.0,0.025957170668397145,6.4,41.5,33.2,84.9,653,14.7
66,375000.0,1988-89,7232000.0,0.05185287610619469,6.4,41.5,33.2,84.9,653,14.7
67,825000.0,1990-91,11871000.0,0.0694970937578974,6.4,41.5,33.2,84.9,653,14.7
68,1309000.0,1991-92,12500000.0,0.10472,6.4,41.5,33.2,84.9,653,14.7
69,1309000.0,1992-93,14000000.0,0.0935,6.4,41.5,33.2,84.9,653,14.7
70,1309000.0,1993-94,15175000.0,0.08626029654036244,6.4,41.5,33.2,84.9,653,14.7
71,1240000.0,1994-95,15964000.0,0.07767476822851416,6.4,41.5,33.2,84.9,653,14.7
72,2090880.0,2013-14,58679000.0,0.03563250907479677,1.0,58.8,0.0,55.3,467,9.7
73,2184960.0,2014-15,63065000.0,0.03464615872512487,1.0,58.8,0.0,55.3,467,9.7
74,2279040.0,2015-16,70000000.0,0.03255771428571429,1.0,58.8,0.0,55.3,467,9.7
75,3140517.0,2016-17,94143000.0,0.033359007042477934,1.0,58.8,0.0,55.3,467,9.7
76,22471910.0,2017-18,99093000.0,0.22677595793850222,1.0,58.8,0.0,55.3,467,9.7
77,311000.0,1991-92,12500000.0,0.02488,0.9,44.9,28.2,77.2,379,5.8
78,522000.0,1992-93,14000000.0,0.03728571428571428,0.9,44.9,28.2,77.2,379,5.8
79,250000.0,1994-95,15964000.0,0.01566023552994237,0.9,44.9,28.2,77.2,379,5.8
80,360000.0,1995-96,23000000.0,0.01565217391304348,0.9,44.9,28.2,77.2,379,5.8
81,290000.0,1996-97,24363000.0,0.01190329598161146,0.9,44.9,28.2,77.2,379,5.8
82,2490360.0,2017-18,99093000.0,0.02513154309587963,1.9,55.0,13.6,72.8,151,8.0
83,342666.0,2010-11,58044000.0,0.005903555923092826,0.7,47.4,0.0,62.8,153,4.6
